Designator,Footprint,Quantity,Value,LCSC Part #
"- 12V +, - 3.3V +, - 5V +",TerminalBlock_TE_282834-2_1x02_P2.54mm_Horizontal,3,Terminal Out (Screw),
A1,Pololu_Breakout-16_15.2x20.3mm,1,A4988,
C1,CP_Elec_8x10,1,470 uF,
C2,0603,1,1uF,
"C3, C4",CP_Elec_6.3x7.7,2,220 uF,
C5,0603,1,0.1uF,
"D1, D2, D3",D_SMA,3,1N5820,
"J1, J11",PinHeader_1x04_P2.54mm_Vertical,2,Conn_01x04_Pin,
"J10, J8",PinHeader_1x19_P2.54mm_Vertical,2,Conn_01x19_Pin,
"J12, J15",PinSocket_1x02_P2.54mm_Vertical,2,Conn_01x02_Pin,
J9,PinSocket_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
JP1,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,Power Connector,
JP2,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,Power Switch Connector,
L1,L_12x12mm_H4.5mm,1,68 uH,
L2,L_12x12mm_H4.5mm,1,47uH,
MCU1,ESP32_38pin,1,~,
"R1, R2, R3, R4, R5",0603,5,10kohm,
RDM1,RDM6300,1,RDM6300,
"S1, S2",SPARKFUN_SEN-13879,2,SEN-13879,
SD1,MEM20900014500A,1,MEM2090-00-145-00-A,
U1,TO-263-5_TabPin3,1,LM2596S-5,
U2,TO-263-5_TabPin3,1,LM2596S-3.3,
