Designator,Mid X,Mid Y,Rotation,Layer
- 12V +,30.89,-30.2,180.0,top
- 3.3V +,46.8,-30.2325,180.0,top
- 5V +,38.73,-30.2,180.0,top
A1,129.71,-61.03,180.0,top
C1,45.65,-41.71,270.0,top
C2,47.875,-55.96,180.0,top
C3,82.2,-45.4,180.0,top
C4,82.55,-30.7,180.0,top
C5,128.4,-29.975,270.0,top
D1,46.65,-51.96,180.0,top
D2,82.2,-51.8,0.0,top
D3,82.4,-37.8,0.0,top
J1,26.45,-73.79,0.0,top
J10,108.18,-85.82,0.0,top
J11,25.45,-99.75,0.0,top
J12,119.22,-68.76,0.0,top
J15,146.22,-107.26,180.0,top
J8,73.18,-85.82,0.0,top
J9,146.225,-61.01,0.0,top
JP1,30.65,-53.21,270.0,top
JP2,39.15,-53.21,270.0,top
L1,106.075,-49.835,0.0,top
L2,106.2,-32.2,0.0,top
MCU1,90.68,-85.9,90.0,top
R1,126.2,-29.9125,270.0,top
R2,123.82,-29.9125,270.0,top
R3,121.31,-29.9125,270.0,top
R4,118.8,-29.9125,270.0,top
R5,116.29,-29.9125,270.0,top
RDM1,131.22,-92.03,90.0,top
S1,48.45,-75.06,0.0,top
S2,48.6,-101.02,0.0,top
SD1,139.0,-39.8,270.0,top
U1,60.75,-51.435,180.0,top
U2,60.95,-32.9,180.0,top
